sample;annotation
aa;['O']
aala;['O']
aarcca;['O']
abon;['O']
abso;['BRAND']
abtoys игруш;['BRAND', 'TYPE']
abtoys игрушк;['BRAND', 'TYPE']
abtoys игрушки;['BRAND', 'TYPE']
acofe;['O']
actimal;['BRAND']
actimel;['BRAND']
actimeuno;['BRAND']
actimino;['BRAND']
actimun;['BRAND']
actimunno;['BRAND']
activ;['BRAND']
activa;['BRAND']
active;['BRAND']
adremaine;['BRAND']
adren;['BRAND']
adrena;['BRAND']
adrenali;['BRAND']
adrinalin;['BRAND']
adrinaline;['BRAND']
afanasiy пи;['BRAND', 'TYPE']
afanasiy пив;['BRAND', 'TYPE']
afanasiy пиво;['BRAND', 'TYPE']
agama треск;['BRAND', 'TYPE']
agama треска;['BRAND', 'TYPE']
agata;['BRAND']
agnesi пше;['BRAND', 'TYPE']
agnesi пшен;['BRAND', 'TYPE']
ahma;['BRAND']
ahmad;['BRAND']
ahmad tea;['BRAND', 'BRAND']
ailtero;['BRAND']
airw;['BRAND']
akba;['BRAND']
akmad;['BRAND']
aktime;['BRAND']
aktimel;['BRAND']
aktimuno;['BRAND']
albeni;['BRAND']
albenia;['BRAND']
alen;['BRAND']
alie;['BRAND']
allen;['BRAND']
almak;['BRAND']
alme;['BRAND']
almeta;['BRAND']
almeto;['BRAND']
almett;['BRAND']
almetta;['BRAND']
almette;['BRAND']
almond;['TYPE']
aloe;['TYPE']
alp;['BRAND']
alpe;['BRAND']
alpeland;['BRAND']
alpen;['BRAND']
alpen gold max;['BRAND', 'BRAND', 'BRAND']
alpen gold max fun;['BRAND', 'BRAND', 'BRAND', 'BRAND']
alpeni;['BRAND']
alpenl;['BRAND']
alpenla;['BRAND']
alpenland;['BRAND']
alphapet;['BRAND']
alpin gold he;['BRAND', 'BRAND', 'O']
alte;['BRAND']
altera;['BRAND']
altero;['BRAND']
always;['BRAND']
alweys;['BRAND']
am;['O']
amare;['BRAND']
ambassado;['BRAND']
amore форели;['BRAND', 'TYPE']
anikers;['BRAND']
aoba;['O']
aos;['BRAND']
aotime;['O']
apica;['BRAND']
aplen;['BRAND']
aplpen;['BRAND']
apollo дома;['BRAND', 'O']
apollo салатни;['BRAND', 'TYPE']
apollo салатник;['BRAND', 'TYPE']
apollo салатники;['BRAND', 'TYPE']
applika облож;['BRAND', 'TYPE']
applika обложк;['BRAND', 'TYPE']
apte ботин;['BRAND', 'TYPE']
apte ботинк;['BRAND', 'TYPE']
apy ople;['O', 'O']
aqua;['BRAND']
